price,number_of_reviews,review_scores_rating,availability_365
$168.00,0,,242
$132.00,30,5.0,364
,1,5.0,0
$255.00,0,,364
$80.00,1,2.0,364
,0,,0
$450.00,1,5.0,364
$375.00,0,,361
$350.00,0,,364
$250.00,0,,364
$55.00,1,5.0,364
$315.00,0,,364
,0,,55
$100.00,0,,179
$340.00,0,,364
,1,5.0,83
$280.00,0,,364
$45.00,0,,10
$280.00,0,,364
$320.00,0,,364
$350.00,0,,364
$285.00,0,,364
$275.00,0,,364
$270.00,0,,364
$310.00,0,,364
$310.00,0,,364
$77.00,0,,365
$60.00,0,,365
$100.00,0,,364
$76.00,0,,364
$80.00,55,4.85,138
$64.00,0,,364
$55.00,0,,178
$270.00,0,,364
,0,,267
$100.00,0,,263
$310.00,0,,364
$86.00,0,,364
$400.00,0,,364
$85.00,0,,302
$79.00,0,,364
$55.00,0,,364
$350.00,0,,269
$420.00,0,,269
$240.00,0,,269
$68.00,1,5.0,254
,0,,269
$98.00,0,,364
,2,5.0,0
,0,,0
$320.00,0,,365
$145.00,0,,365
$200.00,0,,149
$305.00,0,,269
$100.00,0,,365
$188.00,0,,269
$80.00,0,,268
$88.00,0,,178
$80.00,0,,268
$98.00,0,,90
$90.00,0,,269
$80.00,0,,269
$300.00,0,,276
$78.00,9,4.78,208
$57.00,2,4.0,168
,4,5.0,89
$65.00,0,,180
,0,,270
$37.00,0,,362
$45.00,0,,149
$45.00,0,,161
$67.00,0,,268
$152.00,0,,269
$299.00,0,,269
$90.00,0,,90
$90.00,0,,90
$96.00,4,4.75,269
$68.00,0,,364
$304.00,0,,269
$95.00,1,5.0,221
$81.00,0,,364
$58.00,0,,364
$243.00,0,,270
$100.00,0,,269
$96.00,0,,364
$96.00,0,,269
$78.00,0,,146
$209.00,0,,252
$88.00,0,,269
$102.00,0,,269
$57.00,0,,266
$120.00,0,,269
$80.00,0,,269
$80.00,0,,269
$115.00,0,,269
$93.00,0,,269
$93.00,0,,269
$120.00,0,,302
$176.00,0,,267
$60.00,0,,335
,0,,269
$159.00,0,,146
$60.00,0,,269
$98.00,0,,177
,0,,163
$98.00,0,,235
$98.00,0,,268
,0,,177
$56.00,1,3.0,269
$76.00,0,,178
$120.00,0,,269
$190.00,2,5.0,74
,2,3.0,89
$78.00,0,,252
$169.00,0,,251
$160.00,0,,267
$220.00,0,,365
$112.00,0,,364
$65.00,0,,362
$92.00,0,,270
$86.00,0,,364
$136.00,0,,269
$60.00,0,,269
$190.00,1,5.0,104
,0,,0
$46.00,0,,106
$100.00,0,,269
$204.00,10,4.3,357
$238.00,0,,267
$90.00,0,,269
$187.00,7,4.43,362
$220.00,0,,256
$70.00,1,5.0,269
$405.00,1,5.0,89
$390.00,0,,269
,0,,90
$20.00,0,,89
$54.00,0,,352
$53.00,0,,365
,0,,331
$73.00,0,,365
$120.00,0,,363
$91.00,0,,87
$96.00,0,,365
$62.00,1,5.0,365
$54.00,0,,129
$62.00,0,,309
$112.00,0,,269
$120.00,0,,363
$76.00,0,,343
$76.00,0,,365
$96.00,0,,358
$85.00,0,,235
$98.00,0,,365
$50.00,0,,362
$60.00,0,,273
$400.00,0,,364
$72.00,0,,350
$64.00,0,,364
$80.00,0,,365
$46.00,0,,273
$120.00,0,,316
$240.00,1,3.0,362
$209.00,0,,365
$209.00,1,2.0,365
$91.00,0,,270
$600.00,0,,364
"$12,800.00",0,,365
$168.00,0,,90
$70.00,0,,164
$159.00,0,,180
$210.00,0,,365
$288.00,0,,365
$350.00,0,,332
$230.00,0,,164
$75.00,0,,365
,0,,203
$76.00,0,,365
$220.00,0,,365
$65.00,0,,268
$71.00,0,,90
$89.00,0,,365
$135.00,0,,90
,1,5.0,2
$180.00,0,,352
$78.00,3,5.0,302
$240.00,0,,36
$278.00,0,,365
$99.00,0,,365
$66.00,0,,365
$94.00,0,,364
$89.00,0,,365
$95.00,0,,365
"$1,600.00",0,,364
$57.00,0,,365
