neighbourhood_group_cleansed,price,number_of_reviews,review_scores_rating,availability_365
North Region,100.0,0,,179
West Region,340.0,0,,364
West Region,280.0,0,,364
West Region,45.0,0,,10
West Region,280.0,0,,364
West Region,320.0,0,,364
West Region,350.0,0,,364
West Region,285.0,0,,364
West Region,275.0,0,,364
West Region,270.0,0,,364
West Region,310.0,0,,364
West Region,310.0,0,,364
East Region,77.0,0,,365
West Region,60.0,0,,365
West Region,100.0,0,,364
West Region,76.0,0,,364
West Region,80.0,55,4.85,138
North-East Region,64.0,0,,364
North-East Region,55.0,0,,178
West Region,270.0,0,,364
East Region,100.0,0,,263
West Region,310.0,0,,364
West Region,86.0,0,,364
West Region,400.0,0,,364
East Region,85.0,0,,302
North-East Region,79.0,0,,364
East Region,55.0,0,,364
West Region,350.0,0,,269
West Region,420.0,0,,269
West Region,240.0,0,,269
East Region,68.0,1,5.0,254
East Region,98.0,0,,364
West Region,320.0,0,,365
West Region,145.0,0,,365
East Region,200.0,0,,149
West Region,305.0,0,,269
East Region,100.0,0,,365
North Region,188.0,0,,269
East Region,80.0,0,,268
North-East Region,88.0,0,,178
North-East Region,80.0,0,,268
West Region,98.0,0,,90
West Region,90.0,0,,269
East Region,80.0,0,,269
North-East Region,300.0,0,,276
North-East Region,78.0,9,4.78,208
North Region,57.0,2,4.0,168
North-East Region,65.0,0,,180
West Region,37.0,0,,362
West Region,45.0,0,,149
West Region,45.0,0,,161
West Region,67.0,0,,268
North-East Region,152.0,0,,269
North-East Region,299.0,0,,269
West Region,90.0,0,,90
West Region,90.0,0,,90
West Region,96.0,4,4.75,269
North Region,68.0,0,,364
West Region,304.0,0,,269
East Region,95.0,1,5.0,221
North Region,81.0,0,,364
North Region,58.0,0,,364
North-East Region,243.0,0,,270
West Region,100.0,0,,269
West Region,96.0,0,,364
West Region,96.0,0,,269
East Region,78.0,0,,146
West Region,209.0,0,,252
West Region,88.0,0,,269
East Region,102.0,0,,269
West Region,57.0,0,,266
West Region,120.0,0,,269
West Region,80.0,0,,269
West Region,80.0,0,,269
West Region,115.0,0,,269
West Region,93.0,0,,269
West Region,93.0,0,,269
West Region,120.0,0,,302
North-East Region,176.0,0,,267
East Region,60.0,0,,335
East Region,159.0,0,,146
East Region,60.0,0,,269
East Region,98.0,0,,177
East Region,98.0,0,,235
East Region,98.0,0,,268
West Region,56.0,1,3.0,269
North-East Region,76.0,0,,178
North-East Region,120.0,0,,269
West Region,190.0,2,5.0,74
West Region,78.0,0,,252
East Region,169.0,0,,251
North-East Region,160.0,0,,267
North-East Region,220.0,0,,365
West Region,112.0,0,,364
East Region,65.0,0,,362
North-East Region,92.0,0,,270
East Region,86.0,0,,364
West Region,136.0,0,,269
West Region,60.0,0,,269
North-East Region,190.0,1,5.0,104
North-East Region,46.0,0,,106
West Region,100.0,0,,269
East Region,204.0,10,4.3,357
West Region,238.0,0,,267
North-East Region,90.0,0,,269
East Region,187.0,7,4.43,362
West Region,220.0,0,,256
East Region,70.0,1,5.0,269
East Region,405.0,1,5.0,89
West Region,390.0,0,,269
North Region,20.0,0,,89
North Region,54.0,0,,352
West Region,53.0,0,,365
West Region,73.0,0,,365
North-East Region,120.0,0,,363
North-East Region,91.0,0,,87
North-East Region,96.0,0,,365
West Region,62.0,1,5.0,365
North Region,54.0,0,,129
East Region,62.0,0,,309
East Region,112.0,0,,269
East Region,120.0,0,,363
East Region,76.0,0,,343
West Region,76.0,0,,365
East Region,96.0,0,,358
East Region,85.0,0,,235
East Region,98.0,0,,365
East Region,50.0,0,,362
East Region,60.0,0,,273
West Region,400.0,0,,364
North Region,72.0,0,,350
East Region,64.0,0,,364
East Region,80.0,0,,365
East Region,46.0,0,,273
North-East Region,120.0,0,,316
North-East Region,240.0,1,3.0,362
North-East Region,209.0,0,,365
North-East Region,209.0,1,2.0,365
North Region,91.0,0,,270
West Region,600.0,0,,364
