price,availability_365,room_type,review_scores_rating,neighbourhood_group_cleansed,cluster
194.0,77,Private room,4.47,Central Region,0
112.0,73,Private room,4.6,Central Region,0
81.0,81,Private room,4.59,Central Region,0
160.0,358,Private room,4.76,West Region,0
160.0,358,Private room,4.84,West Region,0
42.0,179,Private room,4.55,East Region,0
59.0,241,Private room,4.63,Central Region,0
49.0,361,Private room,5.0,Central Region,0
121.0,364,Private room,4.0,North Region,2
193.0,359,Hotel room,4.75,Central Region,3
193.0,359,Hotel room,4.53,Central Region,3
193.0,359,Hotel room,4.53,Central Region,3
193.0,359,Entire home/apt,4.13,Central Region,3
193.0,359,Entire home/apt,4.67,Central Region,3
49.0,361,Private room,5.0,Central Region,0
193.0,359,Entire home/apt,4.36,Central Region,3
193.0,359,Hotel room,4.42,Central Region,3
90.0,363,Private room,4.77,North-East Region,1
50.0,365,Private room,4.0,Central Region,0
47.0,268,Private room,4.75,North Region,2
132.0,323,Entire home/apt,5.0,Central Region,3
95.0,364,Private room,4.75,Central Region,0
59.0,361,Private room,4.5,Central Region,0
49.0,361,Private room,5.0,Central Region,0
79.0,361,Private room,5.0,Central Region,0
65.0,271,Private room,4.71,Central Region,0
49.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,4.75,Central Region,0
153.0,340,Entire home/apt,5.0,Central Region,3
200.0,244,Entire home/apt,4.98,Central Region,3
120.0,358,Private room,4.93,West Region,0
59.0,361,Private room,4.5,Central Region,0
56.0,180,Private room,4.43,West Region,0
85.0,310,Private room,5.0,Central Region,0
245.0,354,Entire home/apt,4.89,Central Region,3
207.0,365,Entire home/apt,4.82,Central Region,3
189.0,357,Entire home/apt,4.73,Central Region,3
40.0,90,Private room,4.6,East Region,0
56.0,272,Private room,4.55,West Region,0
171.0,365,Entire home/apt,4.0,Central Region,3
73.0,147,Private room,4.7,Central Region,0
74.0,365,Private room,5.0,West Region,0
399.0,365,Entire home/apt,4.25,Central Region,3
130.0,365,Private room,4.5,East Region,0
65.0,364,Private room,4.39,Central Region,0
162.0,362,Entire home/apt,4.66,Central Region,3
160.0,312,Entire home/apt,4.8,Central Region,3
70.0,330,Private room,4.75,Central Region,0
139.0,236,Entire home/apt,5.0,Central Region,3
90.0,246,Private room,5.0,West Region,0
49.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
75.0,323,Private room,4.82,North Region,2
51.0,361,Private room,5.0,Central Region,0
193.0,359,Hotel room,4.43,Central Region,3
193.0,359,Hotel room,4.45,Central Region,3
193.0,359,Hotel room,4.58,Central Region,3
70.0,365,Private room,4.0,West Region,0
53.0,241,Private room,5.0,West Region,0
59.0,361,Private room,4.5,Central Region,0
90.0,256,Entire home/apt,4.74,Central Region,3
38.0,364,Private room,4.2,West Region,0
100.0,90,Private room,4.84,East Region,0
130.0,365,Private room,4.0,East Region,0
273.0,61,Entire home/apt,4.85,Central Region,3
1003.0,365,Entire home/apt,4.78,Central Region,3
239.0,364,Entire home/apt,3.67,Central Region,3
224.0,365,Entire home/apt,3.5,Central Region,3
60.0,361,Private room,5.0,Central Region,0
49.0,361,Private room,5.0,Central Region,0
140.0,365,Entire home/apt,4.74,Central Region,3
461.0,365,Entire home/apt,4.0,Central Region,3
49.0,361,Private room,3.0,Central Region,0
399.0,365,Entire home/apt,5.0,Central Region,3
127.0,365,Entire home/apt,4.67,Central Region,3
343.0,365,Entire home/apt,4.96,Central Region,3
752.0,61,Entire home/apt,4.86,Central Region,3
69.0,361,Private room,4.33,Central Region,0
39.0,329,Private room,4.83,Central Region,0
